school_name,conference,region,state,division,gender,program_url,ncaa_id
Florida,SEC,,,D1,W,https://floridagators.com/sports/womens-soccer/coaches,
Florida Atlantic,American,,,D1,W,https://fausports.com/sports/womens-soccer/coaches,
Florida Gulf Coast,ASUN,,,D1,W,https://fgcuathletics.com/sports/womens-soccer/roster,
Florida State,ACC,,,D1,W,https://seminoles.com/sports/womens-soccer/coaches,
Fordham,Atlantic 10,,,D1,W,https://fordhamsports.com/sports/womens-soccer/roster,
Fresno State,Pac-12,,,D1,W,https://gobulldogs.com/sports/womens-soccer/coaches,
Furman,Southern,,,D1,W,https://furmanpaladins.com/sports/womens-soccer/roster,
Gardner–Webb,Big South,,,D1,W,https://gwusports.com/sports/womens-soccer/coaches,
George Mason,Atlantic 10,,,D1,W,,
George Washington,Atlantic 10,,,D1,W,https://gwsports.com/sports/womens-soccer/coaches,
Georgetown,Big East,,,D1,W,https://guhoyas.com/sports/womens-soccer/roster,
Georgia,SEC,,,D1,W,https://georgiastatesports.com/sports/womens-soccer/roster,
Georgia Southern,Sun Belt,,,D1,W,https://gseagles.com/sports/womens-soccer/coaches,
Georgia State,Sun Belt,,,D1,W,https://georgiastatesports.com/sports/womens-soccer/roster,
Gonzaga,Pac-12,,,D1,W,https://gozags.com/sports/womens-soccer/roster,
Grambling State,SWAC,,,D1,W,https://gsutigers.com/sports/womens-soccer/roster,
Grand Canyon,Mountain West,,,D1,W,https://gculopes.com/sports/womens-soccer/coaches,
Green Bay,Horizon,,,D1,W,https://greenbayphoenix.com/sports/womens-soccer/roster,
Hampton,CAA,,,D1,W,,
Harvard,Ivy League,,,D1,W,https://gocrimson.com/sports/womens-soccer/roster,
Hawaii,Mountain West,,,D1,W,https://hawaiiathletics.com/sports/womens-soccer/roster,
High Point,Big South,,,D1,W,https://highpointpanthers.com/sports/womens-soccer/roster,
Hofstra,CAA,,,D1,W,https://gohofstra.com/sports/womens-soccer/roster,
Holy Cross,Patriot,,,D1,W,https://goholycross.com/sports/womens-soccer/roster,
Houston,Big 12,,,D1,W,https://hcuhuskies.com/sports/womens-soccer/roster,
Houston Christian,Southland,,,D1,W,https://hcuhuskies.com/sports/womens-soccer/roster,
Howard,NEC[l],,,D1,W,https://hubison.com/sports/womens-soccer/roster,
Idaho,Big Sky,,,D1,W,https://govandals.com/sports/womens-soccer/roster,
Idaho State,Big Sky,,,D1,W,,
Illinois,Big Ten,,,D1,W,https://fightingillini.com/sports/womens-soccer/coaches,
Illinois State,Missouri Valley,,,D1,W,https://goredbirds.com/sports/womens-soccer/roster,
Incarnate Word,Southland,,,D1,W,http://uiwcardinals.com/sports/womens-soccer/roster,
Indiana,Big Ten,,,D1,W,https://iuhoosiers.com/sports/womens-soccer/coaches,
Indiana State,Missouri Valley,,,D1,W,https://gosycamores.com/sports/womens-soccer/roster,
Iona,Metro Atlantic,,,D1,W,https://ionagaels.com/sports/womens-soccer/roster,
Iowa,Big Ten,,,D1,W,,
Iowa State,Big 12,,,D1,W,https://cyclones.com/sports/womens-soccer/coaches,
IU Indy,Horizon,,,D1,W,,
Jackson State,SWAC,,,D1,W,,
Jacksonville,ASUN,,,D1,W,https://judolphins.com/sports/womens-soccer/roster,
Jacksonville State,CUSA,,,D1,W,,
James Madison,Sun Belt,,,D1,W,https://jmusports.com/sports/womens-soccer/coaches,
